Run #1:
[37/100] Train Loss: 22004.8519, Test Loss: 12779.532273947143, mIoU: 0.8249135917203706
[38/100] Train Loss: 18498.5466, Test Loss: 12939.671505055581, mIoU: 0.7739962226700292
[39/100] Train Loss: 16751.0324, Test Loss: 9808.94318460432, mIoU: 0.8139578875094995
[40/100] Train Loss: 15779.8092, Test Loss: 9393.127308874544, mIoU: 0.8064931719517472
[41/100] Train Loss: 14970.2566, Test Loss: 9500.594208835868, mIoU: 0.7796300072138456
[42/100] Train Loss: 14310.8557, Test Loss: 8881.89069010701, mIoU: 0.7956664127516901
[43/100] Train Loss: 13738.1093, Test Loss: 7874.747311847493, mIoU: 0.7707982963460285
[44/100] Train Loss: 13270.6712, Test Loss: 8489.628677728864, mIoU: 0.7930809087659783
[45/100] Train Loss: 13019.2176, Test Loss: 9695.399524392225, mIoU: 0.7979407449619674
[46/100] Train Loss: 14379.1283, Test Loss: 9118.263396340273, mIoU: 0.8008400733388576
[47/100] Train Loss: 12823.6278, Test Loss: 8531.825176316184, mIoU: 0.7950304641066155
[48/100] Train Loss: 11854.5676, Test Loss: 8204.76531051774, mIoU: 0.8476492235740267
[49/100] Train Loss: 11267.5176, Test Loss: 8841.79979201849, mIoU: 0.7820007459708218
[50/100] Train Loss: 10983.4069, Test Loss: 8337.602920984002, mIoU: 0.8426509830486824
[51/100] Train Loss: 10427.1916, Test Loss: 8402.813505713437, mIoU: 0.8418697115346794
[52/100] Train Loss: 10085.4685, Test Loss: 8475.454710437554, mIoU: 0.8449215055562181
[53/100] Train Loss: 9753.5926, Test Loss: 7605.496959911954, mIoU: 0.8310349657180219
[54/100] Train Loss: 9428.1995, Test Loss: 6986.918968538982, mIoU: 0.8601969040601369
[55/100] Train Loss: 9038.0329, Test Loss: 7410.029537013505, mIoU: 0.8384051686175169
[56/100] Train Loss: 8846.2588, Test Loss: 6442.16571981708, mIoU: 0.8175790332962823
[57/100] Train Loss: 8455.2659, Test Loss: 7116.943131592198, mIoU: 0.8576651145536581
[58/100] Train Loss: 8281.6169, Test Loss: 6480.002152136749, mIoU: 0.8324553139559576
[59/100] Train Loss: 8011.9757, Test Loss: 6541.944498637051, mIoU: 0.835440856784429
[60/100] Train Loss: 7729.6593, Test Loss: 5500.826697505319, mIoU: 0.8570724214789358
[61/100] Train Loss: 7509.5051, Test Loss: 6712.961734771402, mIoU: 0.8116485912449678
[62/100] Train Loss: 7293.8902, Test Loss: 6586.961401198551, mIoU: 0.8204227716541785
[63/100] Train Loss: 7152.7388, Test Loss: 12588.616446013977, mIoU: 0.7669805961779016
[64/100] Train Loss: 7680.1556, Test Loss: 5731.105872751901, mIoU: 0.8752852968415579
[65/100] Train Loss: 10830.9494, Test Loss: 7253.788217888669, mIoU: 0.707966878557287
[66/100] Train Loss: 9066.8997, Test Loss: 10146.360620914658, mIoU: 0.6917085191639631
[67/100] Train Loss: 8586.5418, Test Loss: 6235.08237937843, mIoU: 0.7437150541068199
[68/100] Train Loss: 7338.5086, Test Loss: 5899.923234401575, mIoU: 0.8418076450339524
[69/100] Train Loss: 6786.3676, Test Loss: 5084.192517804976, mIoU: 0.870735298125541
[70/100] Train Loss: 6444.1826, Test Loss: 5177.153626837054, mIoU: 0.7723209561901504
